epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_macro_precision,val_macro_recall
1,2.115219786150666,0.5174608948708621,0.46336730684850674,1.2882697301277748,0.5883076923076923,0.5376545300954817,0.5574256455996807,0.6163540265725108
2,0.9033658940950798,0.7108039287013459,0.6658325737389186,1.080985936164856,0.6566153846153846,0.591389240696451,0.6101240075985446,0.6432509951254762
3,0.7211594858053338,0.7495452891960713,0.7032992959660408,1.0198969341241397,0.6289230769230769,0.5729339136638291,0.5934686517728007,0.6533877125901401
4,0.6526447554075228,0.7599126955256457,0.7161276929196462,1.0020507700626666,0.6658461538461539,0.5964264736850692,0.6214976099311269,0.6592892450201631
5,0.5975410841343055,0.7571844307020735,0.7241238906020264,1.001755048274994,0.684923076923077,0.6078479067627114,0.6233362464200223,0.6657595277638174
6,0.5808369368911006,0.7770098217533649,0.7319130227126875,0.98391846374365,0.6843076923076923,0.610450841926588,0.6283772505289434,0.6683850522504146
7,0.5613767617656864,0.7720989450709349,0.735329320902902,1.015934005187108,0.6812307692307692,0.6143778727621736,0.6340950379860553,0.6813465474579288
8,0.5385176097318969,0.7764641687886504,0.7405496706465012,0.9985977868483616,0.6898461538461539,0.6189023055196786,0.6280506089677831,0.6769096470861786
9,0.5079083688998924,0.7881047653692251,0.7462628382419999,1.0078323019284467,0.672,0.6123918150708091,0.6238044449004087,0.6860658204377881
10,0.5029873037260201,0.7839214259730811,0.7505587348276818,1.0189049564324892,0.6836923076923077,0.6145660059276826,0.6246053967579189,0.6762715189780945
11,0.49979314560910143,0.7931975263732266,0.7538612245851144,1.030238263973823,0.6793846153846154,0.6155585936825205,0.626683798219635,0.679927599911321
12,0.500074741676878,0.7770098217533649,0.7460019972521574,1.0549061728624196,0.6504615384615384,0.5965011904928574,0.6252501807585189,0.6840699738299398
