epoch,train_loss,train_accuracy,train_macro_f1,train_macro_precision,train_macro_recall,val_loss,val_accuracy,val_macro_f1,val_macro_precision,val_macro_recall
1,2.856366418694851,0.1507670850767085,0.12862661388219446,0.16537414683103102,0.16063586312559708,2.3199224692650917,0.21870361207323108,0.16824555036336766,0.23574966362060942,0.27002821115133874
2,2.007006539959289,0.34658298465829845,0.2982150209352276,0.32255487640210684,0.3658638655026084,1.8000109464682192,0.4260267194458189,0.33244197804428977,0.3548314530111461,0.4235964783329524
3,1.61802828754175,0.46694560669456064,0.40306508496948046,0.41319247066534187,0.46222059225864837,1.6089471208170343,0.4532409698169223,0.3863234017690588,0.42034813240161156,0.4421299935984808
4,1.4466145361816534,0.505020920502092,0.4456973431136842,0.45743280139843473,0.49997572127118156,1.4735888741147336,0.4883720930232558,0.40670319603727767,0.4651911004655777,0.4699033850967509
5,1.3216936377800659,0.5217573221757322,0.47051479763472503,0.47744317676399284,0.5307479037646031,1.3788739721825782,0.5348837209302325,0.4545195385422052,0.4698100582254279,0.5164165467723997
6,1.2195092052262864,0.5676429567642957,0.5170572279509803,0.5174580446804401,0.5715911498558929,1.4428380996151056,0.46511627906976744,0.4051902247083059,0.439599983324204,0.5019785562703339
7,1.1327770100145327,0.5806136680613668,0.5306176925859609,0.5320164425213508,0.5974256160403051,1.219259468032133,0.5467590301830777,0.47935978748440083,0.49445052306931353,0.5523788234100855
8,1.0727202961468132,0.6012552301255231,0.5482440139915591,0.5460933213951137,0.602966008493101,1.2037436957408862,0.5541810984661059,0.46963451142206913,0.499424671101981,0.5454204523310644
9,0.9762825285872987,0.6340306834030683,0.5810999269748192,0.5778433546281747,0.6312451281376881,1.1709043944548523,0.5724888668975755,0.4871887314793381,0.5319052586746901,0.5698450601682709
10,0.951709506435208,0.6372384937238493,0.5817889940897304,0.5822019237021324,0.6419912935832399,1.2261515444071798,0.5769421078673924,0.48397191843077997,0.4930687096170412,0.548864947360063
11,0.9121777545790626,0.6589958158995816,0.6051217919234094,0.5981119207326372,0.6614582496871341,1.172350468964697,0.5719940623453735,0.4974012846210696,0.5185566937156745,0.5754860509824714
12,0.9348598077373691,0.6523012552301255,0.6010922814806073,0.5965058840753312,0.6618893774484859,1.0924090297430946,0.6318654131618011,0.5369817784172742,0.5403727944337566,0.6022332531549018
13,0.8517277720915556,0.6822873082287308,0.631368629143281,0.6236600679812722,0.6849384029332525,1.0308155400336585,0.6496783770410688,0.5600324863723216,0.5574646714435063,0.6252711242552303
14,0.845059041315209,0.6835425383542538,0.6222533524642562,0.6108332819458622,0.6811649679186842,0.9665277024296945,0.6640277090549233,0.5803109496490825,0.5835305245669974,0.6488592459228619
15,0.8003987239660745,0.7,0.644046560526128,0.6328913844461385,0.6931357548779769,1.017812321470375,0.6615536862939139,0.5638294956396483,0.5719289254209565,0.6202426846452103
16,0.7909070434929437,0.6959553695955369,0.6392297449207873,0.6274148148592673,0.7003085011948408,0.9824955786648863,0.6709549727857497,0.5675260159482056,0.5771118741436503,0.6302119309765961
17,0.7671306066765778,0.7131101813110181,0.659263504728058,0.6478752646209605,0.7097622336296598,1.0689215098850093,0.6224641266699653,0.5304369168194787,0.5488881198534648,0.6136585121335734
18,0.7281803842867768,0.7200836820083683,0.6692671272472892,0.659490461705129,0.7270902186722378,1.006310878798019,0.6724393864423552,0.5803557704976606,0.5741064882924384,0.6570451998896686
19,0.7351764331801666,0.7200836820083683,0.671092065594355,0.6577251997316161,0.7273357828955574,0.9948215696376365,0.6457199406234537,0.5516416312132286,0.5612683034730357,0.6377582238821277
20,0.6991748169376262,0.7262203626220363,0.6804682465845528,0.6669820803035315,0.7374409549331782,0.9760558242434502,0.6917367639782286,0.5970479488383464,0.5935070810858256,0.6485226188663792
21,0.6877920724690543,0.7295676429567644,0.6825090698820947,0.6690078852728121,0.7350758265936342,1.0072921448447574,0.6843146956952004,0.5771215541004845,0.583242786071489,0.6367767768951755
22,0.6865481750486286,0.7299860529986053,0.6826581924209926,0.6696668687784912,0.7356485181086332,0.9877888563539297,0.6714497773379515,0.5834216991500011,0.5833938860930133,0.6496087330294357
23,0.6762713142019934,0.7365411436541144,0.6882990663923371,0.6756021752959567,0.7422733142829506,0.9698827160814504,0.6887679366650173,0.5870909804318272,0.5914235389818261,0.6532498448574247
24,0.6489759126301423,0.7437935843793584,0.6976188563318673,0.6815234742045353,0.7530254710937901,1.1058128905113471,0.6427511133102425,0.5516652855507478,0.573726587857256,0.6156959750354392
25,0.6396320667226943,0.7429567642956765,0.7026086289198136,0.6857694130425127,0.7705546581247993,0.9698959461153881,0.6788718456209797,0.5962595603145431,0.5936886825360423,0.661490473033031
26,0.6282090494323475,0.7562064156206416,0.7110745756103461,0.6937985705683802,0.7702700616605382,1.0214497089857868,0.6749134092033646,0.579487734636572,0.5783113744843423,0.6685532678890767
27,0.6149470484801249,0.7592747559274756,0.7116621395822029,0.695437321611812,0.7716284926958822,0.9651335255159476,0.6828302820385947,0.6046550437221427,0.596095235446329,0.6823972779473826
28,0.6019715707837454,0.7592747559274756,0.7197699334971084,0.7036206461041106,0.780304317241943,0.9879665294388389,0.6892627412172192,0.597273543879121,0.5918298695660342,0.6658555676895677
29,0.5985221469751462,0.7723849372384938,0.728259906696701,0.7114010428117064,0.7818044076200801,1.067014203397193,0.6739238000989609,0.5813881579522233,0.5770530762798131,0.6394612131496675
30,0.5634512115805053,0.7753138075313808,0.7340896363200405,0.7179659104202125,0.7833364359395445,0.9784736625042839,0.6877783275606135,0.6026416244134368,0.6009069212204483,0.6579594135031551
31,0.5634912653448193,0.7704323570432356,0.7289567850941081,0.7100423514979443,0.7895934421538093,1.0292604479796812,0.6749134092033646,0.5908437364522559,0.5993131110878017,0.6303547892532818
32,0.5566760259442748,0.7783821478382148,0.7379276401518229,0.7196776271449994,0.7944278654510963,0.9893954600631926,0.686293913904008,0.6057717811011456,0.6038000503797047,0.657242916412517
33,0.5268695531031078,0.7835425383542538,0.752810574462741,0.7331509049671512,0.8075131620746954,1.0091975804810946,0.6882731321128155,0.6117596945257998,0.6042281174373794,0.6757771788451347
34,0.5143887603060554,0.7916317991631799,0.7529786392076842,0.7322962841436609,0.8136431207515942,1.012033544926877,0.7021276595744681,0.620131007731698,0.6269631119273472,0.6577629131668722
35,0.5130953710282031,0.790516039051604,0.7553899473940242,0.7365491326146512,0.8086956386122386,1.0360566130786293,0.6853043047996041,0.6007993161290484,0.6046691622233767,0.6500767892106231
36,0.5439952651077733,0.7894002789400278,0.7498898205484276,0.7311865895975098,0.7984769657360724,1.0482180780670773,0.6724393864423552,0.5981432296775664,0.6049937174033145,0.6584703793016468
37,0.5136012929877477,0.7892608089260809,0.7523414697488335,0.7323241064241487,0.8127783434176061,1.025228184632651,0.7016328550222662,0.6112855458240184,0.6046316844486139,0.664355879870126
38,0.4815387789861428,0.7910739191073919,0.7567267858839393,0.7341792619202318,0.8180835593005313,1.0318735058150748,0.6937159821870361,0.612307822720383,0.6045152791648035,0.6744750923012149
39,0.4920142500636634,0.797629009762901,0.7587921016422626,0.7374551492694239,0.815133400248186,1.0480303587977218,0.7060860959920832,0.6149713098145415,0.6162643347906439,0.6650543050174893
40,0.4586832530993963,0.8069735006973501,0.7791931928450823,0.755598112777398,0.8339588175459282,1.0426330558443235,0.7001484413656606,0.6036184920867247,0.60298119701624,0.6539322882066487
41,0.4653916598509379,0.80836820083682,0.7736789448519543,0.7509783724041237,0.8314203664899865,1.0976565131776583,0.6907471548738249,0.6077247660821754,0.6126048327211021,0.6545498187497154
42,0.4541015183099778,0.8108786610878661,0.7719447049872712,0.7499731237735127,0.8265219886537678,1.1079309773527708,0.6927263730826324,0.5957279550373235,0.5941703783295621,0.6475085636014514
43,0.448769725591069,0.8118549511854951,0.7869365694930219,0.7693964903850592,0.8399433583292206,1.1763581113317472,0.685799109351806,0.5973741296278424,0.5870622464181702,0.6476045254040114
44,0.4315631040469373,0.8128312412831241,0.7871356745332474,0.7634707453589005,0.8471583816995262,1.0130922247990708,0.7060860959920832,0.6227628873550703,0.617412296407539,0.6902289402841251
45,0.4456905924957999,0.8128312412831241,0.7792354600727323,0.757950780395763,0.8353599610229914,1.0926861551243265,0.6971796140524493,0.6076075462248547,0.6118377101069992,0.6720406153509458
46,0.4202130313531458,0.8206415620641562,0.7931450645271598,0.7699717869971929,0.8532843513665704,1.111319516714937,0.7060860959920832,0.6280736723752605,0.6268873942625889,0.6842579108441277
47,0.42224039959940785,0.8244072524407252,0.7960237826939838,0.7725346753264545,0.8470602943549088,1.0732949684009523,0.6961900049480455,0.6056026626543076,0.6070812519082853,0.6465946789583248
48,0.37608304608982146,0.8278940027894003,0.8041983908014313,0.7805591024132119,0.8656021557484628,1.1341963717985837,0.7253834735279565,0.6326802282497705,0.6280073500232408,0.678951925630442
49,0.395218180180261,0.8319386331938633,0.8097392745704743,0.7873039593720261,0.8608729866876094,1.0899843407231709,0.685799109351806,0.5990922003641863,0.6031856983107686,0.6542419271275516
50,0.35087138593945044,0.8380753138075314,0.8182160199400683,0.792940190554874,0.8803037160036778,1.1698857087536887,0.6872835230084117,0.5977539206393361,0.5984550896224241,0.6434714364267589
