epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_macro_precision,val_macro_recall
1,2.465531120954231,0.3366678792288105,0.2890739868312927,1.4544252942892222,0.5563076923076923,0.4823521630879008,0.4883587337149406,0.5663011680988795
2,1.284026462019639,0.5576573299381593,0.5136356586890735,1.0739747504087596,0.6695384615384615,0.5595128864834296,0.5897451314953436,0.6160745576223501
3,0.9612775654652285,0.6882502728264823,0.6284859343801187,0.8970329715655401,0.676923076923077,0.6008232886299217,0.6405260974348911,0.7029725667690226
4,0.8108629942504048,0.7253546744270644,0.669570075764718,0.842786871946775,0.7144615384615385,0.6227689686739659,0.6429938246990119,0.688934961028519
5,0.734847551087719,0.7491815205529283,0.6921152577731217,0.8393438790027912,0.7230769230769231,0.639278556511088,0.65998032914106,0.705617279970802
6,0.6819525142286682,0.7597308112040743,0.7087145608366029,0.8509886526511266,0.7273846153846154,0.6464416417563728,0.6757176413620218,0.7067313384251582
7,0.6558539202621781,0.7628228446707894,0.7144350274410786,0.8003085305874165,0.7156923076923077,0.6582075213326704,0.6845678797085432,0.7198989577678411
8,0.6420070943983306,0.7699163332120771,0.720536101289497,0.8154071764762585,0.7446153846153846,0.6635669975969832,0.6623467553288467,0.7316962092016861
9,0.6058977497365527,0.7821025827573663,0.7315482072302245,0.8587662279605865,0.7107692307692308,0.6354061461837092,0.6538666188119877,0.7065145902159967
10,0.5718570523758115,0.7722808293925064,0.7260556108987867,0.8228343421495877,0.7212307692307692,0.6403895974336963,0.6482327440553362,0.7057049099449821
11,0.6056541761470821,0.7791924336122227,0.728640489108946,0.8497746880421272,0.6781538461538461,0.6143385640003722,0.6285331691949,0.7013714443279204
12,0.5891152763418737,0.7779192433612223,0.7321748481746021,0.8456084333566519,0.6670769230769231,0.6194040021995377,0.6583234911188812,0.7029318422611169
13,0.5747296107101545,0.7722808293925064,0.7328002352993078,0.8046387731295366,0.7261538461538461,0.6491211444539396,0.6571028986193642,0.7135693253869009
14,0.5560245116913088,0.7884685340123682,0.7440041037427362,0.8535967540007371,0.7126153846153847,0.6371664184176578,0.6549874524389633,0.6946412270596896
15,0.5467956526013191,0.7841033102946526,0.7418493010862017,0.8207040807283842,0.7286153846153847,0.6620909056276753,0.6811694731839821,0.7197056338908243
16,0.530649527901951,0.7942888323026555,0.7477819304513877,0.8254531935361715,0.6966153846153846,0.6500300759296398,0.6885820112087169,0.7332721248773164
17,0.5387039371471745,0.7930156420516552,0.7503984218184651,0.8688036394119263,0.6787692307692308,0.6246570257484683,0.6572102263330101,0.7125560943753422
18,0.5276770730285741,0.7901054929065114,0.7419130448431073,0.8476707559182094,0.7076923076923077,0.6429384187594857,0.6741109838501371,0.7041604990323118
19,0.5047041177749634,0.7882866496907966,0.7520130741609995,0.8636603001081027,0.715076923076923,0.6339810734700325,0.645563189676718,0.6974317403932372
20,0.5102572529131215,0.7908330301927974,0.749300196835633,0.8743051849328555,0.7169230769230769,0.6437424120094185,0.6575707373935757,0.6996544065060318
